,well_id,results,chemical,date,units,qualifer,rl,latitude,longitude,well_type,well_depth_ft,top_of_screen_ft,screen_length_ft,source,source_name,other_names,year,month
2561,ED 301,1.0,TCE,2003-04-09,UG/L,<,,38.69289634,-120.71316979999999,DOMESTIC,,,,GAMA,ED 301,PLEASANT VALLEY ROAD,2003,4
2569,ED 323,1.0,TCE,2003-02-14,UG/L,<,,38.67900088,-120.71867859999999,DOMESTIC,,,,GAMA,ED 323,TERRA SERENA,2003,2
2630,ED 520,1.0,TCE,2004-04-12,UG/L,<,,38.668996354,-120.823817835,DOMESTIC,,,,GAMA,ED 520,CALICO MINE ROAD,2004,4
2820,ED 673,1.0,TCE,2004-06-01,UG/L,<,,38.832198106,-121.025415264,DOMESTIC,,,,GAMA,ED 673,PILOT CREEK LANE,2004,6
2864,ED 380,1.0,TCE,2003-03-07,UG/L,<,,38.59034765,-120.9495639,DOMESTIC,,,,GAMA,ED 380,SHADOW HAWK DRIVE,2003,3
2937,ED 594,1.0,TCE,2004-05-05,UG/L,<,,38.696284960999996,-120.95041338799999,DOMESTIC,,,,GAMA,ED 594,CARLSON DRIVE,2004,5
3283,ED 436,1.0,TCE,2003-04-09,UG/L,<,,38.612480299999994,-120.9587269,DOMESTIC,,,,GAMA,ED 436,SOUTH SHINGLE ROAD,2003,4
3358,ED 593,1.0,TCE,2004-05-12,UG/L,<,,38.665613164,-120.95672473,DOMESTIC,,,,GAMA,ED 593,KIOWA WAY,2004,5
3405,ED 586,1.0,TCE,2004-04-29,UG/L,<,,38.829497703,-121.03260547200001,DOMESTIC,,,,GAMA,ED 586,PILOT VIEW DRIVE,2004,4
3416,ED 686,1.0,TCE,2004-06-02,UG/L,<,,38.810038678000005,-121.039359044,DOMESTIC,,,,GAMA,ED 686,CHEETAH TRAIL,2004,6
3429,ED 585,1.0,TCE,2004-04-28,UG/L,<,,38.80136522,-120.907592105,DOMESTIC,,,,GAMA,ED 585,FIREHOUSE ROAD,2004,4
3477,ED 377,1.0,TCE,2003-03-17,UG/L,<,,38.59039769,-120.9786615,DOMESTIC,,,,GAMA,ED 377,MITCHELL ROAD,2003,3
3554,ED 322,1.0,TCE,2003-02-14,UG/L,<,,38.6800155,-120.7196973,DOMESTIC,,,,GAMA,ED 322,SPRINGER ROAD,2003,2
3723,ED 373,1.0,TCE,2003-03-18,UG/L,<,,38.70135379999999,-120.9503525,DOMESTIC,,,,GAMA,ED 373,ROLLING RANCH,2003,3
3812,ED 596,1.0,TCE,2004-05-05,UG/L,<,,38.655809751999996,-120.893910421,DOMESTIC,,,,GAMA,ED 596,LUMBO LANE,2004,5
3877,ED 474,1.0,TCE,2003-05-15,UG/L,<,,38.8064344,-120.9485262,DOMESTIC,,,,GAMA,ED 474,WAGNER MINE ROAD,2003,5
3936,ED 315,1.0,TCE,2003-02-11,UG/L,<,,38.68987232,-120.77220890000001,DOMESTIC,,,,GAMA,ED 315,KEARNS ROAD,2003,2
3976,ED 488,1.0,TCE,2003-05-29,UG/L,<,,38.58840066,-120.9560682,DOMESTIC,,,,GAMA,ED 488,TALON DRIVE,2003,5
3989,ED 551,1.0,TCE,2004-05-04,UG/L,<,,38.839946399999995,-121.02467,DOMESTIC,,,,GAMA,ED 551,LOWELL LANE,2004,5
3995,ED 600,1.0,TCE,2004-05-05,UG/L,<,,38.756820955,-120.77431138799999,DOMESTIC,,,,GAMA,ED 600,ROSE LANE,2004,5
4073,ED 422,1.0,TCE,2003-03-27,UG/L,<,,38.77421578,-120.86662890000001,DOMESTIC,,,,GAMA,ED 422,BAR CREST DRIVE,2003,3
4239,ED 456,1.0,TCE,2003-05-06,UG/L,<,,38.80449457,-120.93028090000001,DOMESTIC,,,,GAMA,ED 456,EL CAMPO ROAD,2003,5
4262,ED 319,1.0,TCE,2003-02-13,UG/L,<,,38.72203802,-120.73504890000001,DOMESTIC,,,,GAMA,ED 319,NEWTOWN ROAD,2003,2
4271,ED 581,1.0,TCE,2004-04-26,UG/L,<,,38.789536493,-120.841172794,DOMESTIC,,,,GAMA,ED 581,STEWART MINE ROAD,2004,4
4296,ED 379,1.0,TCE,2003-03-17,UG/L,<,,38.59123498,-120.9814344,DOMESTIC,,,,GAMA,ED 379,MITCHELL ROAD,2003,3
4609,TUL971,0.0,TCE,2006-05-11,UG/L,ND,0.5,36.55847471,-119.25245430000001,DOMESTIC,,,,GAMA,TUL971,TUL971,2006,5
4632,TUL1505,0.0,TCE,2006-06-08,UG/L,ND,0.5,36.435,-119.2399,DOMESTIC,,,,GAMA,TUL1505,TUL1505,2006,6
4693,TUL983,0.0,TCE,2006-05-17,UG/L,ND,0.5,36.30234539,-119.1223358,DOMESTIC,,,,GAMA,TUL983,TUL983,2006,5
4720,TUL992,0.0,TCE,2006-05-16,UG/L,ND,0.5,36.11933651,-119.24804350000001,DOMESTIC,,,,GAMA,TUL992,TUL992,2006,5
4805,TUL1070,0.0,TCE,2006-06-14,UG/L,ND,0.5,36.49355,-119.3367367,DOMESTIC,,,,GAMA,TUL1070,TUL1070,2006,6
4938,TUL1027,0.0,TCE,2006-05-23,UG/L,ND,0.5,36.36552832,-119.2963591,DOMESTIC,,,,GAMA,TUL1027,TUL1027,2006,5
5025,TUL1057,0.0,TCE,2006-06-14,UG/L,ND,0.5,36.56932708,-119.3947831,DOMESTIC,,,,GAMA,TUL1057,TUL1057,2006,6
5045,TUL1074,0.0,TCE,2006-06-14,UG/L,ND,0.5,36.52973009,-119.3280024,DOMESTIC,,,,GAMA,TUL1074,TUL1074,2006,6
5137,TUL952,0.0,TCE,2006-04-26,UG/L,ND,0.5,35.86664274,-119.063515,DOMESTIC,,,,GAMA,TUL952,TUL952,2006,4
5205,TUL1016,0.0,TCE,2006-05-23,UG/L,ND,0.5,36.54744891,-119.2696325,DOMESTIC,,,,GAMA,TUL1016,TUL1016,2006,5
5212,TUL908,0.0,TCE,2006-04-18,UG/L,ND,0.5,36.3514886,-119.16347590000001,DOMESTIC,,,,GAMA,TUL908,TUL908,2006,4
5223,TUL986,0.0,TCE,2006-05-18,UG/L,ND,0.5,35.96084544,-119.219417,DOMESTIC,,,,GAMA,TUL986,TUL986,2006,5
5319,TUL1034,0.0,TCE,2006-06-08,UG/L,ND,0.5,36.04911998,-119.0688277,DOMESTIC,,,,GAMA,TUL1034,TUL1034,2006,6
5388,TUL926,0.0,TCE,2006-04-20,UG/L,ND,0.5,36.38644467,-119.28265459999999,DOMESTIC,,,,GAMA,TUL926,TUL926,2006,4
5429,MON167,0.5,TCE,2011-06-08,UG/L,<,0.5,36.80710916,-121.7188179,DOMESTIC,,,,GAMA,MON167,MON167,2011,6
5493,MON147,0.5,TCE,2011-05-26,UG/L,<,0.5,36.52517379,-121.8435087,DOMESTIC,,,,GAMA,MON147,MON147,2011,5
5580,MON111,0.5,TCE,2011-05-05,UG/L,<,0.5,36.81842683,-121.6498812,DOMESTIC,,,,GAMA,MON111,MON111,2011,5
6234,MON105,0.5,TCE,2011-05-04,UG/L,<,0.5,36.7943939,-121.66077150000001,DOMESTIC,,,,GAMA,MON105,MON105,2011,5
6288,MON110,0.5,TCE,2011-05-05,UG/L,<,0.5,36.79003925,-121.6734094,DOMESTIC,,,,GAMA,MON110,MON110,2011,5
6350,MON131,0.5,TCE,2011-05-18,UG/L,<,0.5,36.81853412,-121.6193055,DOMESTIC,,,,GAMA,MON131,MON131,2011,5
6609,MON116,0.5,TCE,2011-05-10,UG/L,<,0.5,36.56467670000001,-121.7028318,DOMESTIC,,,,GAMA,MON116,MON116,2011,5
6628,MON176,0.5,TCE,2011-06-22,UG/L,<,0.5,35.82675766,-121.1121753,DOMESTIC,,,,GAMA,MON176,MON176,2011,6
6747,MON174,0.5,TCE,2011-06-23,UG/L,<,0.5,36.46712953,-121.21508419999999,DOMESTIC,,,,GAMA,MON174,MON174,2011,6
6756,SD 950,0.5,TCE,2009-01-22,UG/L,<,0.5,33.189783333,-116.997572235,DOMESTIC,,,,GAMA,SD 950,SD 950,2009,1
6772,SD 801,0.5,TCE,2008-04-29,UG/L,<,0.5,33.02420051,-116.8473041,DOMESTIC,,,,GAMA,SD 801,SD 801,2008,4
6849,SD 918,0.5,TCE,2008-12-09,UG/L,<,0.5,33.074613688,-117.08919589799999,DOMESTIC,,,,GAMA,SD 918,SD 918,2008,12
6864,SD 898,0.5,TCE,2008-06-10,UG/L,<,0.5,32.99023484,-116.795578,DOMESTIC,,,,GAMA,SD 898,SD 898,2008,6
6887,TUL989,0.0,TCE,2006-06-07,UG/L,ND,0.5,36.13709293,-118.77027609999999,DOMESTIC,,,,GAMA,TUL989,TUL989,2006,6
6987,SD 887,0.5,TCE,2008-06-18,UG/L,<,0.5,32.8690003,-116.63529809999999,DOMESTIC,,,,GAMA,SD 887,SD 887,2008,6
7008,SD 817,0.5,TCE,2008-05-08,UG/L,<,0.5,33.04870883,-116.89034529999999,DOMESTIC,,,,GAMA,SD 817,SD 817,2008,5
7070,TUL1096,0.0,TCE,2006-06-22,UG/L,ND,0.5,36.2321322,-118.82518049999999,DOMESTIC,,,,GAMA,TUL1096,TUL1096,2006,6
7143,SD 896,0.5,TCE,2008-06-19,UG/L,<,0.5,32.6836727,-116.5035379,DOMESTIC,,,,GAMA,SD 896,SD 896,2008,6
7391,TUL994,0.0,TCE,2006-05-17,UG/L,ND,0.5,36.11087646,-118.8220997,DOMESTIC,,,,GAMA,TUL994,TUL994,2006,5
7418,SD 907,0.5,TCE,2008-12-03,UG/L,<,0.5,32.828810069,-116.72809913799999,DOMESTIC,,,,GAMA,SD 907,SD 907,2008,12
7469,SD 842,0.5,TCE,2008-05-28,UG/L,<,0.5,33.40793137,-117.2744892,DOMESTIC,,,,GAMA,SD 842,SD 842,2008,5
7528,TUL963,0.0,TCE,2006-05-10,UG/L,ND,0.5,36.63134996,-118.9973943,DOMESTIC,,,,GAMA,TUL963,TUL963,2006,5
7604,SD 865,0.5,TCE,2008-06-10,UG/L,<,0.5,32.91759865,-116.885605,DOMESTIC,,,,GAMA,SD 865,SD 865,2008,6
7783,SD 840,0.5,TCE,2008-05-27,UG/L,<,0.5,32.77641948,-116.91187620000001,DOMESTIC,,,,GAMA,SD 840,SD 840,2008,5
7866,TUL1097,0.0,TCE,2006-06-22,UG/L,ND,0.5,36.2238854,-118.810832,DOMESTIC,,,,GAMA,TUL1097,TUL1097,2006,6
8248,SD 920,0.5,TCE,2008-12-10,UG/L,<,0.5,33.127384887,-117.135764961,DOMESTIC,,,,GAMA,SD 920,SD 920,2008,12
8316,SD 838,0.5,TCE,2008-05-27,UG/L,<,0.5,32.78745247,-116.90964620000001,DOMESTIC,,,,GAMA,SD 838,SD 838,2008,5
8349,TUL1033,0.0,TCE,2006-05-25,UG/L,ND,0.5,36.34451045,-119.45464380000001,DOMESTIC,,,,GAMA,TUL1033,TUL1033,2006,5
8411,TUL1013,0.0,TCE,2006-05-24,UG/L,ND,0.5,36.31588167,-119.4336848,DOMESTIC,,,,GAMA,TUL1013,TUL1013,2006,5
8585,SD 837,0.5,TCE,2008-05-29,UG/L,<,0.5,32.97328661,-116.7962689,DOMESTIC,,,,GAMA,SD 837,SD 837,2008,5
8594,SD 858,0.5,TCE,2008-06-05,UG/L,<,0.5,32.78948039,-116.90694640000001,DOMESTIC,,,,GAMA,SD 858,SD 858,2008,6
8614,TUL937,0.0,TCE,2006-04-26,UG/L,ND,0.5,36.17873495,-119.46562620000002,DOMESTIC,,,,GAMA,TUL937,TUL937,2006,4
8863,TEH 816,0.0,TCE,2005-05-25,UG/L,ND,,40.029520700000006,-122.09523759999999,DOMESTIC,,,,GAMA,TEH 816,Sherwood,2005,5
8877,TEH 831,0.0,TCE,2005-05-18,UG/L,ND,,40.02658034,-122.08990443299999,DOMESTIC,,,,GAMA,TEH 831,Ricalia Lane,2005,5
8891,TEH 841,0.0,TCE,2005-05-17,UG/L,ND,,40.014601831,-122.089238524,DOMESTIC,,,,GAMA,TEH 841,Roosevelt Avenue,2005,5
9062,TEH 755,0.0,TCE,2005-05-04,UG/L,ND,,40.238915641999995,-122.240269301,DOMESTIC,,,,GAMA,TEH 755,Penneleme Road,2005,5
9099,TEH 728,0.0,TCE,2005-04-26,UG/L,ND,,40.04301429,-122.10861031200001,DOMESTIC,,,,GAMA,TEH 728,Butler Street,2005,4
9116,TEH 845,0.0,TCE,2005-05-17,UG/L,ND,,40.031291300999996,-122.102252025,DOMESTIC,,,,GAMA,TEH 845,Tehama Vina Road,2005,5
9146,TEH 871,0.0,TCE,2005-05-24,UG/L,ND,,40.0449987,-122.0995601,DOMESTIC,,,,GAMA,TEH 871,Hwy 99 East,2005,5
9161,TEH 848,0.0,TCE,2005-05-17,UG/L,ND,,40.030530354,-122.09715534,DOMESTIC,,,,GAMA,TEH 848,Tehama Vina Road,2005,5
9207,TEH 824,0.0,TCE,2005-05-19,UG/L,ND,,40.033184331,-122.097262506,DOMESTIC,,,,GAMA,TEH 824,Reeves Road,2005,5
9253,TEH 888,0.0,TCE,2005-06-02,UG/L,ND,,40.0476586,-122.1056045,DOMESTIC,,,,GAMA,TEH 888,Taft Street,2005,6
9489,TEH 785,0.0,TCE,2005-05-17,UG/L,ND,,40.042188900999996,-122.092850914,DOMESTIC,,,,GAMA,TEH 785,Buena Vista Avenue,2005,5
9526,TEH 868,0.0,TCE,2005-05-24,UG/L,ND,,40.045951,-122.1006662,DOMESTIC,,,,GAMA,TEH 868,Hwy 99 East,2005,5
9556,TEH 879,0.0,TCE,2005-05-24,UG/L,ND,,40.039906099999996,-122.09928640000001,DOMESTIC,,,,GAMA,TEH 879,Hwy 99 East,2005,5
9640,TEH 792,0.0,TCE,2005-05-10,UG/L,ND,,40.19606273,-122.230177759,DOMESTIC,,,,GAMA,TEH 792,Crestview Drive,2005,5
9665,TEH 725,0.0,TCE,2005-04-27,UG/L,ND,,40.040791161,-122.106335101,DOMESTIC,,,,GAMA,TEH 725,Hollis Street,2005,4
9927,TEH 830,0.0,TCE,2005-05-18,UG/L,ND,,40.252481285,-122.202848009,DOMESTIC,,,,GAMA,TEH 830,Canta Del Rio,2005,5
10098,TEH 739,0.0,TCE,2005-04-20,UG/L,ND,,40.292197716,-122.37700134399999,DOMESTIC,,,,GAMA,TEH 739,Dapple Gray Road,2005,4
10111,TEH 676,0.0,TCE,2005-04-13,UG/L,ND,,40.297926509,-122.273567055,DOMESTIC,,,,GAMA,TEH 676,Snively Road,2005,4
10264,TEH 692,0.0,TCE,2005-04-13,UG/L,ND,,40.279589299,-122.277507538,DOMESTIC,,,,GAMA,TEH 692,Happy Valley Trail,2005,4
10289,TEH 779,0.0,TCE,2005-04-26,UG/L,ND,,40.280734964000004,-122.31872125,DOMESTIC,,,,GAMA,TEH 779,Hummingbird Lane,2005,4
10384,TEH 773,0.0,TCE,2005-05-04,UG/L,ND,,40.251957882,-122.22278430600001,DOMESTIC,,,,GAMA,TEH 773,Parkway Drive,2005,5
10405,TEH 659,0.0,TCE,2005-04-07,UG/L,ND,,40.277882751,-122.32137786,DOMESTIC,,,,GAMA,TEH 659,Robinhood Lane,2005,4
10432,TEH 812,0.0,TCE,2005-05-11,UG/L,ND,,40.3172948,-122.20415355700001,DOMESTIC,,,,GAMA,TEH 812,Sturgeon Way,2005,5
10522,TEH 854,0.0,TCE,2005-05-20,UG/L,ND,,40.269478665,-122.20189738100001,DOMESTIC,,,,GAMA,TEH 854,River Heights Drive,2005,5
10554,TEH 807,0.0,TCE,2005-05-11,UG/L,ND,,40.145517665999996,-122.350081266,DOMESTIC,,,,GAMA,TEH 807,Live Oak Road,2005,5
10577,TEH 719,0.0,TCE,2005-04-12,UG/L,ND,,40.286607273,-122.38388539700001,DOMESTIC,,,,GAMA,TEH 719,Quail Ridge Road,2005,4
10604,TEH 686,0.0,TCE,2005-04-21,UG/L,ND,,40.276391915,-122.350923501,DOMESTIC,,,,GAMA,TEH 686,Oakwood Heights Drive,2005,4
10673,TEH 738,0.0,TCE,2005-04-20,UG/L,ND,,40.244765529,-122.20832789100001,DOMESTIC,,,,GAMA,TEH 738,East Wallen Road,2005,4
10738,TEH 760,0.0,TCE,2005-04-28,UG/L,ND,,40.251642087,-122.21047441799999,DOMESTIC,,,,GAMA,TEH 760,Davis Road,2005,4
10913,TEH 763,0.0,TCE,2005-05-05,UG/L,ND,,40.312708415,-122.071218822,DOMESTIC,,,,GAMA,TEH 763,Hwy 36 East,2005,5
10960,TEH 735,0.0,TCE,2005-04-20,UG/L,ND,,40.244427832,-122.208787624,DOMESTIC,,,,GAMA,TEH 735,E. Wallen Road,2005,4
11068,TEH 759,0.0,TCE,2005-05-05,UG/L,ND,,40.254632614,-122.202601415,DOMESTIC,,,,GAMA,TEH 759,Brent Road,2005,5
11282,TEH 649,0.0,TCE,2005-04-05,UG/L,ND,,40.279308599000004,-122.333109832,DOMESTIC,,,,GAMA,TEH 649,Matlock Loop,2005,4
11303,TEH 679,0.0,TCE,2005-04-13,UG/L,ND,,40.273778066,-122.394213385,DOMESTIC,,,,GAMA,TEH 679,South Lake Road,2005,4
11317,TEH 761,0.0,TCE,2005-05-10,UG/L,ND,,40.251150497,-122.21294369799999,DOMESTIC,,,,GAMA,TEH 761,West Wallen Road,2005,5
11375,YUB 235,0.5,TCE,2002-05-20,UG/L,<,,39.040507022,-121.575981311,DOMESTIC,,,,GAMA,YUB 235,Anderson Avenue,2002,5
11398,YUB 204,0.5,TCE,2002-05-08,UG/L,<,,39.047988905,-121.34597261399999,DOMESTIC,,,,GAMA,YUB 204,Camp Far West Road,2002,5
11492,YUB 224,0.5,TCE,2002-05-08,UG/L,<,,39.011402376999996,-121.444288907,DOMESTIC,,,,GAMA,YUB 224,Lewis Road,2002,5
11514,YUB 208,0.5,TCE,2002-05-13,UG/L,<,,39.186667104,-121.589587653,DOMESTIC,,,,GAMA,YUB 208,Saddleback Drive,2002,5
11525,YUB 275,0.5,TCE,2002-05-20,UG/L,<,,39.169670658,-121.60028387,DOMESTIC,,,,GAMA,YUB 275,Laurellen Road,2002,5
11690,YUB 200,0.5,TCE,2002-05-29,UG/L,<,,39.051824574,-121.55988050399999,DOMESTIC,,,,GAMA,YUB 200,Warehouse Road,2002,5
11933,YUB 299,0.5,TCE,2002-05-17,UG/L,<,,39.355634777,-121.276951595,DOMESTIC,,,,GAMA,YUB 299,Marysville Road,2002,5
11989,YUB 211,0.5,TCE,2002-05-28,UG/L,<,,39.530450399,-121.16590200899999,DOMESTIC,,,,GAMA,YUB 211,La Porte Road,2002,5
12059,YUB 247,0.5,TCE,2002-06-03,UG/L,<,,38.900786167,-121.104676724,DOMESTIC,,,,GAMA,YUB 247,Milertown Road,2002,6
12235,YUB 321P,0.5,TCE,2002-01-07,UG/L,<,,38.6817833,-120.7533277,DOMESTIC,,,,GAMA,YUB 321P,Cottonwood Lane,2002,1
12253,YUB 267,0.5,TCE,2002-04-26,UG/L,<,,39.249001342,-121.350013834,DOMESTIC,,,,GAMA,YUB 267,Gary Drive,2002,4
12269,YUB 322P,0.5,TCE,2002-01-08,UG/L,<,,38.79268108,-120.9043513,DOMESTIC,,,,GAMA,YUB 322P,Mountain View,2002,1
12282,YUB 255,0.5,TCE,2002-05-08,UG/L,<,,39.047251855,-121.46878982700001,DOMESTIC,,,,GAMA,YUB 255,Bradshaw Road,2002,5
12294,YUB 281,0.5,TCE,2002-04-26,UG/L,<,,39.310388868000004,-121.343576534,DOMESTIC,,,,GAMA,YUB 281,Michelle Way,2002,4
12449,YUB 272,0.5,TCE,2002-05-08,UG/L,<,,39.082749926,-121.311719313,DOMESTIC,,,,GAMA,YUB 272,Intanko Lane,2002,5
12682,YUB 250,0.5,TCE,2002-05-28,UG/L,<,,39.546347289,-121.13266012,DOMESTIC,,,,GAMA,YUB 250,Barton Hill Road,2002,5
12784,YUB 248,0.5,TCE,2002-06-03,UG/L,<,,38.900786167,-121.104676724,DOMESTIC,,,,GAMA,YUB 248,Milertown Road,2002,6
12865,ED 442,1.0,TCE,2003-04-22,UG/L,<,,38.72937744,-120.7150077,DOMESTIC,,,,GAMA,ED 442,VERDE ROBLES DRIVE,2003,4
12896,ED 438,1.0,TCE,2003-04-10,UG/L,<,,38.7856581,-120.8808754,DOMESTIC,,,,GAMA,ED 438,HIGHWAY 49,2003,4
12905,ED 443,1.0,TCE,2003-04-22,UG/L,<,,38.73395407,-120.7180166,DOMESTIC,,,,GAMA,ED 443,LOS TRAMPAS,2003,4
13055,ED 491,1.0,TCE,2004-04-14,UG/L,<,,38.569490669000004,-120.845684944,DOMESTIC,,,,GAMA,ED 491,HIGHWAY 49,2004,4
13247,ED 325,1.0,TCE,2003-02-11,UG/L,<,,38.72081051,-120.78442959999998,DOMESTIC,,,,GAMA,ED 325,NICKS LANE,2003,2
13320,ED 492,1.0,TCE,2004-04-14,UG/L,<,,38.661932575,-120.83687077399999,DOMESTIC,,,,GAMA,ED 492,UNION MINE ROAD,2004,4
13572,ED 533,1.0,TCE,2004-05-14,UG/L,<,,38.818631851,-121.017904021,DOMESTIC,,,,GAMA,ED 533,VIENNA DRIVE,2004,5
13648,ED 327,1.0,TCE,2003-02-19,UG/L,<,,38.73402255,-120.7334495,DOMESTIC,,,,GAMA,ED 327,LEANING TREE ROAD,2003,2
13801,ED 672,1.0,TCE,2004-06-01,UG/L,<,,38.819143649000004,-121.023139205,DOMESTIC,,,,GAMA,ED 672,HIGH SIERRA ROAD,2004,6
13817,ED 300,1.0,TCE,2003-02-04,UG/L,<,,38.68442242,-120.7537351,DOMESTIC,,,,GAMA,ED 300,HIDDEN HOLLOW DRIVE,2003,2
13858,ED 384,1.0,TCE,2003-03-25,UG/L,<,,38.53305127,-120.950208,DOMESTIC,,,,GAMA,ED 384,WHITE HAWK ROAD,2003,3
13887,ED 432,1.0,TCE,2003-04-01,UG/L,<,,38.71404328,-120.9589963,DOMESTIC,,,,GAMA,ED 432,DUNCAN  HILL ROAD,2003,4
13954,ED 564,1.0,TCE,2004-04-28,UG/L,<,,38.8295867,-121.0110251,DOMESTIC,,,,GAMA,ED 564,PEDRO HILL ROAD,2004,4
13983,ED 607,1.0,TCE,2004-05-06,UG/L,<,,38.788051689,-120.84121589200001,DOMESTIC,,,,GAMA,ED 607,SHEEPHERDER RIDGE ROAD,2004,5
14044,ED 698,1.0,TCE,2004-05-24,UG/L,<,,39.0024122,-120.8717989,DOMESTIC,,,,GAMA,ED 698,Melody Lane,2004,5
14160,ED 559,1.0,TCE,2004-04-20,UG/L,<,,38.592942569,-120.70582530700001,DOMESTIC,,,,GAMA,ED 559,APACHE PASS,2004,4
14328,ED 460,1.0,TCE,2003-05-07,UG/L,<,,38.80752198,-120.9485057,DOMESTIC,,,,GAMA,ED 460,WAGNER MINE ROAD,2003,5
14451,ED 330,1.0,TCE,2003-02-20,UG/L,<,,38.70110192,-120.82692450000002,DOMESTIC,,,,GAMA,ED 330,WEDGE HILL ROAD,2003,2
14506,ED 437,1.0,TCE,2003-04-09,UG/L,<,,38.58732226,-120.95009180000001,DOMESTIC,,,,GAMA,ED 437,SHADOW HAWK DRIVE,2003,4
14532,ED 472,1.0,TCE,2003-05-14,UG/L,<,,38.76842076,-120.9164146,DOMESTIC,,,,GAMA,ED 472,KEN DEREK LANE,2003,5
14579,ED 563,1.0,TCE,2004-04-27,UG/L,<,,38.600062409,-120.718215031,DOMESTIC,,,,GAMA,ED 563,MOUNT AUKUM ROAD,2004,4
